marca,modelo,año,estado,kilometraje,motor,placa,cv,peso_kg,transmisión,precio_cop
Honda,Accord,2021,taller,42000,1.6,XDL220,191,1350.0,manual,34000000
Chevrolet,Cruze,2020,taller,50000,2.0,HZR256,90,2000.0,automatica,61000000
Honda,Pilot,2015,vendido,80000,1.0,PTC271,114,1800.0,automatica,89000000
,Ranger,2018,taller,72000,1.8,JUA546,141,1900.0,automatica,72000000
Kia,Picanto,2017,disponible,10000,1.5,ZDG533,213,1570.0,manual,78000000
Hyundai,Santa Fe,2020,disponible,72000,1.5,EDW466,309,950.0,manual,67000000
Nissan,Sentra,2017,taller,,1.3,CWD375,75,1200.0,automatica,
Nissan,Kicks,2015,disponible,90000,1.6,LCS483,120,1070.0,manual,60000000
,Cruze,2022,vendido,75000,1.5,ORK894,120,2100.0,automatica,33000000
Honda,Accord,2018,disponible,90000,1.0,WJO122,185,1800.0,manual,
Chevrolet,Cruze,2021,vendido,58000,1.3,JSU500,122,2000.0,manual,35000000
Volkswagen,Tiguan,2019,disponible,40000,1.6,ZBF977,150,1400.0,manual,25000000
Kia,Picanto,2022,disponible,55000,1.8,LKQ249,122,2000.0,automatica,71000000
Honda,Accord,2018,vendido,60000,2.0,YQD121,120,2060.0,manual,47000000
,Elantra,2022,disponible,90000,1.6,QUP304,84,1050.0,automatica,61000000
Hyundai,Santa Fe,2022,taller,28000,1.0,LVV906,84,1280.0,automatica,81000000
Hyundai,Accent,2021,vendido,45000,2.0,WZP106,158,1350.0,automatica,41000000
Honda,Pilot,2021,taller,65000,1.0,,114,1195.0,manual,62000000
Chevrolet,Cruze,2019,taller,80000,1.3,NIV483,280,1600.0,automatica,61000000
Honda,Pilot,2016,vendido,18000,2.0,HXD492,186,1450.0,manual,78000000
Volkswagen,Touareg,2017,taller,90000,1.6,PXA219,309,1795.0,automatica,39000000
Chevrolet,Silverado,2017,,78000,2.0,PGK609,99,1795.0,manual,74000000
Hyundai,Elantra,2015,vendido,58000,2.0,EUM668,99,2200.0,automatica,29000000
Toyota,Hilux,2020,disponible,22000,1.5,LKL931,193,1450.0,automatica,35000000
Hyundai,Creta,2015,taller,60000,1.8,ZHZ906,163,1795.0,manual,28000000
Hyundai,Tucson,2022,disponible,25000,1.8,JIH901,212,1500.0,manual,58000000
Volkswagen,Polo,2020,taller,60000,2.0,BOX879,365,1200.0,automatica,90000000
Honda,Civic,2019,vendido,90000,1.8,KKO130,191,2100.0,automatica,41000000
Ford,EcoSport,2020,taller,40000,1.5,YNH019,145,1195.0,automatica,36000000
Toyota,Corolla,2015,taller,45000,2.0,FOQ085,400,1350.0,automatica,56000000
Hyundai,Palisade,2020,vendido,25000,1.5,NCG141,90,1350.0,automatica,78000000
Nissan,Kicks,2015,disponible,72000,1.8,LGP025,400,2100.0,automatica,61000000
Nissan,March,2021,taller,80000,1.8,HZR193,155,1800.0,automatica,43000000
Hyundai,Elantra,2021,taller,52000,,IVN728,163,1400.0,manual,78000000
Toyota,Fortuner,2022,disponible,70000,1.3,,180,1195.0,automatica,51000000
Nissan,X-Trail,2022,disponible,42000,1.5,OFZ222,193,1400.0,automatica,69000000
,Explorer,2015,vendido,18000,1.5,YRT282,231,2200.0,automatica,42000000
Ford,Fiesta,2017,vendido,90000,1.6,QTH207,400,1900.0,manual,29000000
Nissan,March,2015,vendido,20000,,HZO498,191,1300.0,manual,39000000
Kia,Sportage,2020,disponible,72000,2.0,CZM903,186,1300.0,automatica,63000000
Nissan,Frontier,2016,taller,50000,1.5,PFD176,180,2200.0,automatica,52000000
Chevrolet,Equinox,2017,disponible,55000,1.8,,90,1600.0,automatica,
Ford,Ranger,2017,taller,75000,1.5,LJF947,213,1195.0,automatica,40000000
Honda,Civic,2021,taller,8000,1.3,FCA570,84,1500.0,automatica,54000000
Hyundai,Elantra,2019,disponible,40000,1.6,HBY896,185,1800.0,automatica,31000000
Chevrolet,Tracker,17,vendido,12000,1.8,KKN323,106,1600.0,automatica,36000000
Hyundai,Tucson,2015,disponible,35000,2.0,DZM262,140,1800.0,automatica,61000000
Chevrolet,Tracker,2020,vendido,10000,1.8,WTA557,150,1195.0,manual,67000000
Volkswagen,Golf,2020,disponible,25000,1.6,OEX995,99,2100.0,manual,25000000
Volkswagen,Polo,2015,taller,75000,1.0,ASN256,185,1200.0,manual,37000000
Chevrolet,Tracker,2016,taller,10000,1.0,KJM670,185,2060.0,automatica,37000000
Toyota,Yaris,2020,disponible,38000,1.8,DVV925,280,1500.0,automatica,74000000
Kia,Cerato,2015,disponible,48000,1.6,MJY466,106,2000.0,automatica,56000000
Nissan,March,2017,disponible,32000,1.6,LOK030,309,1400.0,automatica,26000000
,Versa,2022,,15000,1.3,LKM022,365,1700.0,manual,83000000
Ford,Explorer,2020,taller,35000,1.6,IZZ264,280,1280.0,automatica,73000000
Chevrolet,Cruze,2019,taller,15000,1.6,,170,1070.0,automatica,86000000
Kia,Cerato,2021,disponible,5000,1.0,GNN554,177,1600.0,manual,69000000
Volkswagen,Jetta,2022,disponible,80000,2.0,SIH818,400,1100.0,manual,56000000
Chevrolet,Cruze,2021,vendido,5000,2.0,FHS757,213,1200.0,automatica,66000000
Volkswagen,Tiguan,2017,taller,52000,1.8,PRI213,120,1795.0,automatica,78000000
Ford,Explorer,2022,taller,12000,1.5,YMF356,,2100.0,automatica,78000000
Volkswagen,Tiguan,2016,taller,22000,,UVJ807,213,1250.0,automatica,38000000
Chevrolet,Onix,2020,taller,78000,1.3,QUV855,309,1800.0,manual,66000000
Toyota,RAV4,2017,taller,25,1.3,DIG831,365,1300.0,automatica,73000000
Honda,Pilot,2022,taller,,1.0,UKZ843,150,1400.0,manual,87000000
Ford,F-150,19,disponible,48000,1.0,RGJ913,,2200.0,manual,79000000
Kia,Telluride,2017,disponible,15000,1.3,JSC381,114,2060.0,manual,33000000
Ford,Ranger,2016,taller,70000,1.5,ZID205,309,2000.0,automatica,28000000
Volkswagen,Passat,2016,disponible,95000,1.0,STL932,280,1570.0,automatica,47000000
,HR-V,2016,taller,38000,1.3,NKQ860,185,1280.0,manual,56000000
Nissan,Sentra,2020,disponible,48000,2.0,XUA820,280,2060.0,manual,88000000
Toyota,Corolla,2015,disponible,10000,1.6,JXE908,400,1570.0,manual,66000000
Toyota,Camry,2016,vendido,50000,1.5,IOA253,355,1280.0,automatica,72000000
,Palisade,2015,vendido,5000,2.0,JTH294,90,1195.0,automatica,36000000
Honda,Accord,2015,vendido,25000,1.3,HWY383,186,1300.0,manual,34000000
Volkswagen,Jetta,2002,vendido,22000,1.0,ERV608,153,1195.0,manual,56000000
Ford,Fiesta,2015,disponible,40000,1.3,FKR905,,950.0,manual,50000000
Kia,Sportage,2010,vendido,78000,1.3,JXH416,355,1280.0,automatica,88000000
Kia,Telluride,2020,vendido,95000,1.5,XNK132,145,1050.0,automatica,70000000
Kia,Cerato,2017,disponible,42000,1.8,AXF225,280,1900.0,manual,49000000
Hyundai,Accent,2015,disponible,28000,1.0,WWY393,107,1400.0,automatica,66000000
Hyundai,Elantra,2017,vendido,52000,2.0,RDS993,280,1050.0,manual,65000000
Honda,Odyssey,2020,vendido,5000,1.5,FSJ770,186,1570.0,manual,77000000
Nissan,March,2020,vendido,20000,,IXE099,155,2000.0,automatica,28000000
,Frontier,2019,vendido,42000,1.0,BOV134,150,2100.0,manual,50000000
Kia,Cerato,2017,vendido,10000,1.5,LGV516,107,1070.0,automatica,77000000
Volkswagen,Jetta,2016,vendido,10000,1.8,ONO919,186,1200.0,manual,52000000
Honda,Civic,2021,taller,72000,1.8,IHL876,212,1570.0,manual,78000000
Kia,Cerato,2021,taller,95,1.8,PAH166,84,1500.0,automatica,55000000
Nissan,Frontier,2022,,48000,2.0,,212,1450.0,manual,90000000
Kia,Telluride,2016,taller,8000,1.3,JPE853,122,1300.0,manual,61000000
Volkswagen,Golf,2017,taller,5000,1.3,,170,1450.0,automatica,57000000
Nissan,Sentra,2017,taller,42000,1.0,UUP667,400,1700.0,automatica,58000000
Volkswagen,Touareg,2020,taller,52000,1.3,VWE012,231,1200.0,automatica,
Honda,CR-V,2018,taller,22000,2.0,JHB812,180,1900.0,automatica,43000000
Ford,Escape,2017,vendido,18000,1.3,PQK930,125,1450.0,manual,66000000
Ford,Fiesta,2015,vendido,50000,1.6,SPI893,193,1450.0,manual,46000000
Toyota,Camry,2019,taller,,1.8,ZRQ064,170,1100.0,automatica,85000000
Honda,Accord,2016,vendido,22000,1.0,DCN986,180,1350.0,manual,30000000
Nissan,Versa,2022,disponible,20000,1.3,WWJ641,84,950.0,manual,46000000
Kia,Telluride,2022,vendido,30000,1.0,DSZ819,192,1900.0,automatica,48000000
Volkswagen,Polo,2016,vendido,55000,1.0,SRT559,155,1795.0,manual,80000000
Volkswagen,Passat,2017,disponible,95000,1.5,GZB264,140,1070.0,automatica,81000000
Toyota,Hilux,2016,taller,52000,1.8,ORL388,191,1400.0,automatica,71000000
Toyota,Yaris,2022,vendido,75000,1.0,GFD828,125,2200.0,automatica,
Volkswagen,Tiguan,2017,taller,32000,2.0,VCR638,180,2000.0,manual,60000000
Hyundai,Palisade,2018,disponible,38000,1.8,SRX179,123,1795.0,automatica,39000000
Toyota,Fortuner,2016,,70000,1.3,BBG796,120,1050.0,automatica,51000000
Nissan,Frontier,2015,vendido,70000,1.6,YZI502,355,1600.0,manual,72000000
Honda,CR-V,2015,vendido,48000,1.8,GEV049,84,1195.0,automatica,31000000
Honda,Odyssey,2017,vendido,72000,1.0,JWR329,355,1795.0,automatica,26000000
Kia,Cerato,2019,disponible,65000,1.8,ULB815,107,1200.0,manual,33000000
Honda,Pilot,2017,disponible,85000,2.0,BTB835,130,1300.0,automatica,74000000
Volkswagen,Passat,2021,disponible,,1.6,EFT782,365,1195.0,automatica,72000000
Kia,Telluride,2017,disponible,32000,1.3,QGC650,231,1600.0,manual,62000000
Hyundai,Creta,2022,vendido,52000,2.0,POJ340,140,1280.0,automatica,60000000
Nissan,Sentra,2018,vendido,15000,2.0,BAN054,290,1250.0,manual,58000000
Honda,CR-V,2020,,5000,2.0,GZZ671,122,1200.0,manual,86000000
Toyota,Corolla,2020,disponible,48000,2.0,GOE636,99,1795.0,automatica,73000000
Chevrolet,Spark,2019,disponible,28000,1.3,EPV643,110,1700.0,automatica,86000000
Ford,Explorer,2017,taller,72000,1.8,ZQW789,128,1600.0,automatica,86000000
Volkswagen,Tiguan,2016,disponible,70000,1.6,DAN968,309,1100.0,manual,
Kia,Cerato,2015,taller,,1.3,RRI510,280,1100.0,automatica,42000000
Kia,Sorento,2020,taller,48000,2.0,KFO515,192,1300.0,automatica,69000000
Hyundai,Santa Fe,2015,disponible,70000,2.0,ACD940,130,1450.0,manual,29000000
Toyota,Yaris,2019,disponible,10000,1.8,PJV575,122,1070.0,automatica,76000000
Toyota,RAV4,2017,vendido,100000,1.0,ONI152,213,1900.0,automatica,81000000
Kia,Telluride,2018,taller,40000,1.5,KJN722,177,2100.0,automatica,34000000
Chevrolet,Silverado,2018,vendido,38000,1.3,FGQ119,193,2000.0,manual,30000000
Kia,Rio,2017,vendido,78000,1.6,YAJ874,110,2200.0,automatica,65000000
Hyundai,Tucson,2017,vendido,78000,1.3,KTJ445,280,2100.0,manual,37000000
Hyundai,Creta,2019,vendido,12000,1.6,CEF280,155,1300.0,automatica,71000000
Nissan,Versa,2020,taller,100000,1.6,ULC649,122,2060.0,automatica,78000000
,Jetta,22,vendido,30000,1.3,WDG277,128,1200.0,automatica,38000000
Volkswagen,Touareg,2017,disponible,30000,1.0,AJX848,145,1800.0,automatica,42000000
Hyundai,Creta,2018,disponible,80000,1.5,JGH088,158,1350.0,automatica,26000000
Kia,Sportage,2018,disponible,70000,1.6,FCQ576,145,1350.0,manual,77000000
Toyota,Yaris,2016,vendido,48000,,,152,1700.0,automatica,84000000
Toyota,Yaris,2022,taller,20000,1.8,RFK991,84,1800.0,manual,57000000
Kia,Rio,2015,disponible,90000,2.0,PJC106,365,1050.0,manual,70000000
Chevrolet,Spark,2021,vendido,25000,1.5,,123,1800.0,automatica,66000000
Hyundai,Santa Fe,2018,vendido,15000,2.0,ZVE671,150,1400.0,automatica,66000000
Nissan,March,2020,taller,15000,1.0,,90,1450.0,automatica,72000000
Kia,Telluride,2016,taller,60000,2.0,LRW114,155,2100.0,manual,81000000
Chevrolet,Cruze,2019,vendido,80000,1.6,YAA201,152,950.0,automatica,
Hyundai,Elantra,2017,vendido,65000,1.8,GGH552,,1400.0,automatica,47000000
Hyundai,Tucson,2021,vendido,22000,1.3,TWY660,212,1050.0,manual,44000000
Kia,Rio,2017,vendido,18000,1.6,OBK057,114,1195.0,automatica,50000000
,Civic,2021,vendido,65000,1.5,EIR713,,2000.0,manual,81000000
Nissan,March,2020,taller,22000,1.5,LAF525,141,1800.0,automatica,43000000
Volkswagen,Touareg,2015,disponible,70000,2.0,HWR808,400,1500.0,manual,73000000
Toyota,Yaris,2019,vendido,95,1.6,TAR339,203,1300.0,manual,57000000
Chevrolet,Cruze,2018,taller,28000,1.6,ZXI521,213,2100.0,manual,42000000
Honda,Fit,2020,taller,8000,1.5,WKK498,,1195.0,manual,38000000
,Touareg,2020,disponible,70000,1.6,MEF499,180,1280.0,manual,51000000
Hyundai,Creta,2015,taller,20000,1.6,LWW259,84,1800.0,automatica,31000000
Volkswagen,Touareg,2022,disponible,100000,1.0,EPX533,75,1200.0,automatica,50000000
Kia,Telluride,2017,vendido,70000,1.0,TXO618,123,2200.0,manual,
Volkswagen,Tiguan,2015,disponible,95000,1.3,FRL460,231,1300.0,manual,31000000
Nissan,X-Trail,2017,vendido,65000,1.0,CHJ304,231,1070.0,automatica,85000000
Honda,CR-V,2019,vendido,55000,1.5,NZJ155,365,1700.0,automatica,48000000
Kia,Sportage,2015,vendido,60000,1.0,UFQ620,152,1795.0,automatica,25000000
Toyota,Land Cruiser,2017,disponible,28000,2.0,LWX489,90,1795.0,automatica,65000000
Ford,Escape,2021,disponible,22000,1.5,,186,1350.0,manual,63000000
Toyota,Camry,2021,taller,22000,1.0,IBW838,107,1795.0,automatica,27000000
Nissan,March,2015,taller,100000,1.0,FJI172,140,1200.0,manual,64000000
Volkswagen,Tiguan,2020,vendido,58000,1.3,SRN974,114,1070.0,automatica,37000000
Hyundai,Tucson,2022,vendido,8000,1.0,MJL176,114,1795.0,manual,76000000
Volkswagen,Passat,2016,vendido,38000,2.0,PUL752,99,2200.0,automatica,39000000
Kia,Cerato,2022,taller,12000,1.0,FDP787,120,1600.0,automatica,74000000
Hyundai,Accent,2015,taller,100000,1.6,WWB990,231,1450.0,manual,61000000
Chevrolet,Equinox,2021,vendido,75000,1.3,HWD061,193,2100.0,automatica,42000000
Kia,Cerato,2018,disponible,78000,1.8,AMT729,280,1450.0,manual,29000000
Volkswagen,Tiguan,2016,,18000,1.3,MTY067,152,2000.0,manual,
Nissan,Frontier,2019,disponible,90000,1.8,EBZ862,106,1195.0,manual,60000000
Ford,Explorer,2018,vendido,32000,1.8,,193,1570.0,automatica,55000000
Volkswagen,Jetta,2017,taller,78000,1.0,HUJ359,107,1800.0,automatica,80000000
Chevrolet,Equinox,2020,vendido,32000,1.5,ORV001,186,1450.0,manual,61000000
Ford,Mustang,2017,,32,1.5,,153,1300.0,manual,34000000
Honda,Civic,2016,disponible,45000,1.6,AMQ003,120,2200.0,automatica,
Honda,Accord,2020,vendido,52000,1.6,BZQ383,191,1350.0,manual,47000000
Chevrolet,Onix,2015,vendido,8000,2.0,ZGK764,186,950.0,manual,68000000
Honda,Civic,2017,vendido,8000,1.6,,152,1100.0,automatica,46000000
Chevrolet,Spark,2017,vendido,15000,1.0,HTE312,290,1050.0,manual,37000000
Nissan,Kicks,2022,taller,25000,1.3,DHL216,309,1200.0,automatica,36000000
Chevrolet,Cruze,2018,vendido,12000,1.3,CDV941,,1050.0,automatica,
Honda,Civic,2018,taller,80000,1.8,PKT821,130,1100.0,manual,77000000
Ford,Mustang,2018,taller,60000,1.5,FDR018,191,1570.0,manual,68000000
Volkswagen,Golf,2022,,48000,1.0,STG358,290,1195.0,automatica,78000000
Toyota,Land Cruiser,2021,disponible,25000,1.5,HQC437,280,1900.0,manual,83000000
,Santa Fe,2015,vendido,78000,1.5,SPO266,155,1050.0,automatica,31000000
Volkswagen,Touareg,2018,taller,40000,1.5,JGR203,193,1795.0,manual,
Honda,Civic,2021,disponible,50000,1.0,CHS485,365,95.0,automatica,78000000
Hyundai,Creta,2020,taller,55,1.6,PSV431,152,1200.0,automatica,54000000
Ford,Ranger,2017,disponible,42000,1.0,,84,2100.0,automatica,69000000
Ford,Ranger,2022,vendido,22000,2.0,MBR106,130,1600.0,automatica,36000000
Honda,Accord,2021,disponible,95000,1.5,PNB637,185,1450.0,automatica,72000000
Kia,Telluride,2021,disponible,18000,1.3,FMW909,170,1070.0,manual,77000000
Nissan,X-Trail,2019,vendido,85,1.3,AAG984,400,2100.0,automatica,78000000
Nissan,Frontier,2022,taller,22000,1.5,NOV103,114,1450.0,manual,31000000
Honda,Accord,2017,taller,55000,1.5,VRH660,290,1450.0,manual,26000000
Honda,CR-V,2022,vendido,22000,1.3,YMI388,309,1795.0,automatica,
Kia,Picanto,2018,disponible,10000,2.0,NBD206,107,1100.0,manual,50000000
Chevrolet,Equinox,2016,disponible,5000,1.8,FEH959,107,1250.0,automatica,71000000
Hyundai,Accent,2022,disponible,25000,1.6,TSO031,150,1600.0,automatica,
Honda,CR-V,2022,taller,18000,1.0,DKP199,99,1450.0,manual,68000000
Kia,Cerato,2022,taller,72000,1.6,NDL142,114,950.0,automatica,31000000
Chevrolet,Tracker,2022,vendido,100000,1.5,OVO079,110,1500.0,automatica,65000000
,Polo,2022,taller,90000,1.6,OEB253,158,1350.0,automatica,32000000
Kia,Cerato,2015,taller,42000,1.3,GIC681,122,950.0,automatica,29000000
Honda,Odyssey,2022,,38000,1.5,MVR129,125,1700.0,manual,52000000
Volkswagen,Passat,2018,vendido,15000,2.0,VNH634,141,2000.0,automatica,48000000
Kia,Sorento,2015,taller,35000,1.5,MGT784,99,2060.0,manual,77000000
Volkswagen,Tiguan,2021,taller,10000,1.3,EDG861,84,1700.0,manual,32000000
Ford,EcoSport,2016,taller,100000,1.0,NVY928,140,2000.0,manual,65000000
Nissan,X-Trail,2015,disponible,65000,2.0,YIL698,120,1450.0,automatica,72000000
Hyundai,Palisade,2016,taller,42000,1.6,KVS894,140,1350.0,manual,45000000
Honda,HR-V,2021,disponible,55000,1.6,STQ146,69,1500.0,manual,64000000
Volkswagen,Passat,2017,vendido,32000,2.0,PIH033,170,1900.0,manual,27000000
Kia,Sorento,2019,disponible,18000,1.5,EOA579,193,1100.0,manual,51000000
Chevrolet,Cruze,2017,vendido,28000,1.0,HGQ936,191,1070.0,manual,85000000
Volkswagen,Jetta,2015,disponible,45000,1.8,QHK395,290,1200.0,manual,46000000
Nissan,Frontier,2020,disponible,50000,1.5,PTG383,193,1195.0,automatica,31000000
Volkswagen,Passat,2022,disponible,,1.0,JFH878,280,2100.0,manual,25000000
Honda,Odyssey,2020,disponible,8000,1.0,LSM626,155,1050.0,automatica,66000000
Kia,Picanto,2021,vendido,32000,1.3,ZWC817,150,2060.0,manual,40000000
Volkswagen,Passat,2022,vendido,,1.0,TVP440,155,1600.0,manual,44000000
Chevrolet,Equinox,2021,vendido,12000,1.8,BBC406,280,1300.0,automatica,57000000
Volkswagen,Touareg,2022,,45000,1.5,ZWE176,107,1570.0,manual,25000000
Kia,Cerato,2016,disponible,,1.0,EVS104,120,2060.0,manual,80000000
,Passat,2015,vendido,42000,1.3,HVK318,185,1570.0,automatica,62000000
Hyundai,Santa Fe,2016,vendido,75000,1.6,DQQ441,125,1700.0,automatica,81000000
Kia,Telluride,2020,vendido,30000,1.8,FRC411,193,1100.0,automatica,88000000
Hyundai,Creta,2010,taller,40000,1.0,OMZ777,231,1300.0,manual,90000000
Toyota,Fortuner,2016,disponible,22000,1.3,,107,1195.0,automatica,67000000
Chevrolet,Onix,2021,vendido,75000,1.6,YNR947,212,1070.0,manual,68000000
Nissan,Kicks,2021,taller,52000,2.0,TXA259,,1600.0,manual,81000000
Ford,Escape,2019,disponible,18,1.8,ONT107,290,1300.0,manual,63000000
Toyota,Camry,2020,disponible,40000,1.5,HRV513,140,1100.0,automatica,49000000
Hyundai,Palisade,2021,taller,72000,1.5,PQZ697,180,1200.0,manual,89000000
Hyundai,Accent,2021,disponible,22000,1.5,OBD393,193,95.0,manual,43000000
Kia,Sportage,2019,taller,80000,1.5,UMS675,191,1600.0,automatica,44000000
Nissan,Frontier,2016,disponible,8000,1.8,,355,1800.0,manual,49000000
Ford,Mustang,2015,disponible,55000,1.6,GCC112,106,1195.0,automatica,77000000
Honda,Civic,2018,disponible,42000,1.6,NNY235,99,1700.0,manual,77000000
,Odyssey,2018,disponible,65000,1.8,ZUN494,69,1600.0,automatica,46000000
Honda,HR-V,2016,vendido,22000,1.3,SZW258,155,2060.0,automatica,82000000
Toyota,Corolla,2017,vendido,95000,1.6,NUQ008,186,2100.0,manual,70000000
Toyota,Yaris,2015,vendido,60000,1.3,CPH724,163,1050.0,automatica,88000000
Ford,Fiesta,2017,taller,15,1.3,GOF571,75,2200.0,automatica,83000000
Toyota,Land Cruiser,2018,disponible,48000,,NIK388,130,2200.0,automatica,34000000
Honda,CR-V,2018,vendido,12000,1.5,NGB540,186,1900.0,manual,35000000
Toyota,RAV4,2021,vendido,20000,1.8,TGP603,185,2000.0,manual,68000000
Ford,F-150,2019,vendido,75000,1.6,SLG703,185,1795.0,automatica,64000000
Chevrolet,Equinox,2015,vendido,60000,1.3,,191,2000.0,automatica,67000000
Kia,Rio,2021,disponible,5000,1.5,AJO146,163,1050.0,manual,50000000
Toyota,Hilux,2017,vendido,22000,1.5,YHG869,355,1570.0,manual,
Chevrolet,Equinox,2019,disponible,55000,1.3,BUW898,128,1070.0,automatica,33000000
Volkswagen,Passat,2019,taller,72000,2.0,XPA228,177,1250.0,automatica,79000000
Volkswagen,Tiguan,2020,vendido,80000,1.6,LJM204,141,2060.0,manual,70000000
Hyundai,Elantra,2020,vendido,52000,2.0,VRH799,213,1300.0,manual,63000000
Kia,Rio,2018,taller,38000,1.6,GPO483,106,1400.0,manual,79000000
Hyundai,Elantra,2021,vendido,72000,2.0,NIA791,155,1900.0,automatica,73000000
Ford,Fiesta,2022,disponible,32000,1.3,BZH260,90,1450.0,manual,46000000
Chevrolet,Tracker,2021,taller,90000,1.3,PYP562,69,1195.0,automatica,33000000
Nissan,Kicks,2017,vendido,42000,1.3,,177,2200.0,manual,55000000
Ford,Explorer,2018,taller,10000,1.6,AQR433,125,1500.0,manual,26000000
Volkswagen,Jetta,2017,disponible,8000,1.8,QSX330,,1195.0,automatica,70000000
Hyundai,Elantra,2018,disponible,8000,1.6,AAV609,107,2100.0,manual,46000000
Hyundai,Tucson,2017,disponible,72000,2.0,IKL086,163,1050.0,manual,52000000
Kia,Telluride,2017,vendido,32000,2.0,TRZ600,290,1600.0,automatica,90000000
Honda,Civic,2007,vendido,95000,1.5,FJQ279,186,1400.0,automatica,60000000
Chevrolet,Equinox,2021,taller,55000,1.3,LAW016,120,1250.0,manual,36000000
Chevrolet,Tracker,2019,taller,80000,2.0,FWM933,192,1600.0,automatica,89000000
,Escape,2017,vendido,70000,1.6,HHO437,125,1195.0,manual,25000000
Honda,CR-V,2015,disponible,70000,,ETY773,193,2060.0,automatica,32000000
Volkswagen,Touareg,2017,vendido,42000,1.8,PRE107,170,1500.0,manual,49000000
Honda,Civic,2020,disponible,48000,2.0,FTS014,107,1070.0,automatica,78000000
Ford,EcoSport,2015,taller,32000,1.3,GXK668,122,1070.0,automatica,
Toyota,Corolla,2018,taller,5000,1.6,,185,1400.0,automatica,68000000
Chevrolet,Tracker,2022,taller,90000,1.8,KEZ980,163,1050.0,automatica,81000000
Honda,Pilot,2021,vendido,35000,2.0,DNO851,106,1350.0,automatica,46000000
Toyota,Yaris,2020,vendido,48000,1.3,SRY669,365,1700.0,manual,67000000
Kia,Rio,2018,disponible,22000,1.5,CCT971,163,1195.0,automatica,73000000
Chevrolet,Spark,2021,disponible,85000,1.5,DYV446,120,2100.0,manual,65000000
Hyundai,Elantra,2018,taller,40000,2.0,TYU872,122,950.0,automatica,68000000
Honda,Fit,2020,taller,12000,2.0,HRP448,128,1250.0,manual,26000000
Volkswagen,Golf,2015,disponible,100000,2.0,ILD721,177,1700.0,automatica,47000000
Hyundai,Accent,2016,disponible,18000,1.0,MRN055,145,2200.0,manual,48000000
Toyota,Camry,2022,disponible,22000,1.3,ZXE515,153,1100.0,manual,41000000
Toyota,Yaris,2019,disponible,50000,2.0,NDM399,309,1800.0,manual,37000000
Kia,Picanto,2019,vendido,70000,2.0,XKC246,213,1250.0,manual,59000000
Kia,Sportage,2015,vendido,42000,1.0,HNR430,155,1300.0,manual,53000000
